"id";"VillageId";"BlockId";"DistrictId";"VillageName";"plots";"phase"
"470";"470";"131";"19";"Kalri Khalsa";NULL;NULL
"471";"471";"131";"19";"Udana";"229";"3"
"472";"472";"131";"19";"Badapur";NULL;NULL
"473";"473";"131";"19";"Ghari Sadhan";"100";"2"
"474";"474";"131";"19";"Umarpur";NULL;NULL
"475";"475";"131";"19";"Rampura";NULL;NULL
"476";"476";"131";"19";"Buttan Khari";NULL;NULL
"477";"477";"131";"19";"Hinori";"79";"2"
"478";"478";"131";"19";"Bhadson";"254";"2"
"479";"479";"131";"19";"Dumsi";NULL;NULL
"480";"480";"131";"19";"Patehra";"84";"2"
"481";"481";"131";"19";"Raith Khana";"77";"2"
"482";"482";"90";"17";"JHOJHU KALAN";NULL;NULL
"483";"483";"90";"17";"PICHOPA KHURD";NULL;NULL
"484";"484";"90";"17";"BINDRABAN";NULL;NULL
"485";"485";"15";"8";"Shamlo Kalan";"88";"3"
"486";"486";"15";"8";"Budha Khera Lather";"112";"3"
"487";"487";"109";"11";"Aghiyar";NULL;NULL
"488";"488";"109";"11";"Sehlang";"134";"2"
"489";"489";"109";"11";"Sundrah";NULL;NULL
"490";"490";"109";"11";"Chelawas";NULL;NULL
"491";"491";"109";"11";"Gudha";"213";"2"
"492";"492";"109";"11";"Kheri";"287";"2"
"493";"493";"44";"10";"GARHI SISANA";NULL;NULL
"494";"494";"44";"10";"GOPALPUR (RAJANPANNA)";"29";"2"
