AssetId,AssetName,AssetSize,Unit,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
151555,RW27.28.26PII_E-410,30,Sq. Yards,3205,291,3252,702,1,0,,1,,,544
151656,RW18.2-2774,30,Sq. Yards,3208,294,3264,697,1,0,,1,,,544
152273,CD9_E-303,30,Sq. Yards,3213,299,3279,701,1,0,,1,,,544
153059,RK21.2_E-237,30,Sq. Yards,3205,291,3252,689,1,0,,1,,,544
153860,JG23_461,30,Sq. Yards,3194,280,3200,689,1,0,,1,,,544
154478,RW18.2-2038,30,Sq. Yards,3208,294,3264,682,1,0,,1,,,544
156150,SSPIII20_E-3,30,Sq. Yards,3202,288,3238,684,1,0,,1,,,544
156853,CD9_E-148,30,Sq. Yards,3213,299,3279,697,1,0,,1,,,544
157321,JG23_1025,30,Sq. Yards,3194,280,3200,702,1,0,,1,,,544
157540,MG9.10.3_E-91,30,Sq. Yards,3207,293,3259,693,1,0,,1,,,544
158058,RW18.2-3261,30,Sq. Yards,3208,294,3264,703,1,0,,1,,,544
158407,JG23_2145,30,Sq. Yards,3194,280,3200,685,1,0,,1,,,544
158422,JG23_993,30,Sq. Yards,3194,280,3200,687,1,0,,1,,,544
158993,PW21_819,30,Sq. Yards,3212,298,3276,696,1,0,,1,,,544
159158,RK21.2_E-196,30,Sq. Yards,3205,291,3252,688,1,0,,1,,,544
159458,RW27.28.26PII_E-1671,30,Sq. Yards,3205,291,3252,695,1,0,,1,,,544
159729,FD9_E-2,30,Sq. Yards,3201,287,3233,701,1,0,,1,,,544
159912,SSPIII20_E-165,30,Sq. Yards,3202,288,3238,710,1,0,,1,,,544
160311,RW36A_E-150,30,Sq. Yards,3205,291,3252,699,1,0,,1,,,544
